date,open,high,low,close,volume
1969-11-14,5.3528,5.3528,5.3308,5.3308,305600
1969-11-17,5.3291,5.3402,5.3071,5.3218,356800
1969-11-18,5.3287,5.3471,5.2993,5.3397,457600
1969-11-19,5.3395,5.3432,5.277,5.277,584000
1969-11-20,5.251,5.251,5.1812,5.2143,660800
1969-11-21,5.212,5.212,5.1605,5.1605,272000
1969-11-24,5.1424,5.1424,5.0579,5.0799,620800
1969-11-25,5.0815,5.1697,5.0778,5.0889,564800
1969-11-26,5.0949,5.1573,5.0949,5.1426,412800
1969-11-28,5.1641,5.2485,5.1641,5.2412,280000
1969-12-01,5.2639,5.3007,5.2639,5.286,536000
1969-12-02,5.2837,5.2837,5.2249,5.2322,667200
1969-12-03,5.2271,5.2711,5.2143,5.2143,304000
1969-12-04,5.2137,5.2485,5.1714,5.2412,499200
1969-12-05,5.2412,5.2852,5.2155,5.2412,387200
1969-12-08,5.2453,5.2747,5.2233,5.2233,457600
1969-12-09,5.2249,5.3131,5.2212,5.2322,744000
1969-12-10,5.2306,5.2306,5.1792,5.2233,763200
1969-12-11,5.2233,5.2416,5.2196,5.2233,444800
1969-12-12,5.2293,5.288,5.2293,5.277,408000
1969-12-15,5.2738,5.2738,5.2334,5.2591,395200
1969-12-16,5.2572,5.2572,5.1874,5.1874,528000
1969-12-17,5.1862,5.2046,5.1422,5.1605,320000
1969-12-18,5.1663,5.3023,5.159,5.2949,849600
1969-12-19,5.2964,5.3919,5.2964,5.3845,923200
1969-12-22,5.3757,5.3757,5.2913,5.2949,585600
1969-12-23,5.2853,5.2853,5.1569,5.1605,769600
1969-12-24,5.1996,5.2804,5.1996,5.2143,561600
1969-12-26,5.2157,5.3112,5.2157,5.3039,219200
1969-12-29,5.2995,5.3252,5.2554,5.2591,220800
1969-12-30,5.2587,5.288,5.233,5.277,387200
1969-12-31,5.3209,5.3576,5.3209,5.3576,584000
1970-01-02,5.354,5.3723,5.3466,5.3576,315200
1970-01-05,5.3783,5.4114,5.3783,5.4114,424000
1970-01-06,5.4077,5.4187,5.3784,5.4114,488000
1970-01-07,5.4167,5.4204,5.3836,5.4204,457600
1970-01-08,5.4183,5.4293,5.3999,5.4293,707200
1970-01-09,5.4277,5.4424,5.413,5.4204,585600
1970-01-12,5.4208,5.4318,5.4024,5.4024,379200
1970-01-13,5.3985,5.5196,5.3985,5.492,744000
1970-01-14,5.4975,5.5177,5.481,5.492,392000
1970-01-15,5.5129,5.6085,5.5129,5.6085,420800
1970-01-16,5.6019,5.6826,5.4183,5.4293,1283200
1970-01-19,5.218,5.218,5.1353,5.1426,744000
1970-01-20,5.1456,5.2485,5.0721,5.2412,1681600
1970-01-21,5.2363,5.2363,5.1923,5.2143,945600
1970-01-22,5.2175,5.2469,5.2065,5.2322,636800
1970-01-23,5.2322,5.2763,5.2322,5.2322,816000
1970-01-26,5.1965,5.1965,5.1157,5.1157,696000
1970-01-27,5.0783,5.0783,5.0085,5.0709,1088000
1970-01-28,5.0707,5.1,4.9972,5.0082,844800
1970-01-29,5.0091,5.0642,4.91,4.9724,1072000
1970-01-30,4.9276,5.0681,4.9138,4.9276,427200
1970-02-02,4.947,5.0351,4.947,5.0351,788800
1970-02-03,5.0404,5.0955,4.9449,5.0441,1136000
1970-02-04,5.0441,5.0955,4.9449,5.0441,904000
1970-02-05,4.9834,4.9834,4.9137,4.9724,817600
1970-02-06,4.9739,5.0693,4.9665,5.062,704000
1970-02-09,5.086,5.1593,5.086,5.1337,569600
1970-02-10,5.135,5.1607,5.0579,5.0799,512000
1970-02-11,5.1225,5.2143,5.1225,5.2143,584000
1970-02-12,5.2136,5.2136,5.1475,5.1695,499200
1970-02-13,5.1688,5.1688,5.1027,5.1247,497600
1970-02-16,5.13,5.1557,5.1116,5.1337,412800
1970-02-17,5.1263,5.1337,5.0786,5.1337,443200
1970-02-18,5.1385,5.212,5.1348,5.1605,392000
1970-02-19,5.1695,5.2062,5.1695,5.1695,649600
1970-02-20,5.1704,5.1777,5.1116,5.1337,643200
1970-02-24,5.1208,5.1208,5.062,5.062,371200
1970-02-25,5.0636,5.1297,4.924,5.0709,1224000
1970-02-26,5.064,5.064,4.9833,5.053,568000
1970-02-27,5.058,5.0691,4.9993,4.9993,577600
1970-03-02,4.9974,5.0084,4.9166,4.9276,993600
1970-03-03,4.9248,4.9248,4.8881,4.8918,811200
1970-03-04,4.8984,4.9205,4.8286,4.847,1067200
1970-03-05,4.8454,4.8784,4.8343,4.838,643200
